attempt,image,energy_eV,relative_potential_eV,relative_potential_kcal_mol,band_converged,is_activation_free_energy,C_O_A,C_N_A,N_H_A,tBuOH_O_original_N_H_A,tBuOH_O_original_alcohol_H_A,water_O_original_alcohol_H_A
attempt_01_cluster_seed_02,0,-1611.0043896418492,0.0,0.0,False,False,1.4024785840277647,1.4508091379918449,1.0094419987953405,3.354353015892964,0.9667623674727079,3.0089052079992835
attempt_01_cluster_seed_02,1,-1610.9931475772837,0.011242064565522014,0.2592481676281274,False,False,1.4038563343891788,1.4514942209453352,1.0100478478020103,3.268176436556816,0.9690184798064939,2.827112287110099
attempt_01_cluster_seed_02,2,-1610.9099080529609,0.09448158888835678,2.1787971996728324,False,False,1.410543202249919,1.4507693507879156,1.0092118151144225,3.114701309978934,0.9691242616079034,2.5289713643345753
attempt_01_cluster_seed_02,3,-1610.8306066304656,0.17378301138364805,4.0075314461616225,False,False,1.4476943399472466,1.4258288936486254,1.0079752976458864,2.7308265635451683,0.9723457150394149,1.849282239578407
attempt_01_cluster_seed_02,4,-1610.7050790615385,0.2993105803107028,6.9022659534652915,False,False,1.4430890249960018,1.4253211046086574,1.0112915195445322,2.871390943493917,0.970577920263262,2.015035369093327
attempt_01_cluster_seed_02,5,-1609.2086878937973,1.795701748051897,41.40986605047692,False,False,2.0525341273516933,1.3137435171563105,1.1788004879040326,1.352036015965976,1.322434523054465,1.1653597043976716
attempt_01_cluster_seed_02,6,-1610.2781122300903,0.7262774117589288,16.74835499216495,False,False,2.982966214730638,1.2700458627623887,1.9855898368238676,0.9747515286895516,1.8055212798655333,0.976710136341041
attempt_01_cluster_seed_02,7,-1610.3352168011047,0.6691728407445225,15.431492300940253,False,False,3.3977277724618977,1.2699215306588691,1.9503467586401788,0.9768477992524965,1.8069609739262142,0.9781585733829897
attempt_01_cluster_seed_02,8,-1610.354107613785,0.6502820280643391,14.99585981156962,False,False,3.6774849830701064,1.2699966868468777,1.9158633426575196,0.9768074431366319,1.796684598261645,0.9779386786897349
attempt_02_cluster_seed_01,0,-1610.9145781927195,0.0,0.0,False,False,1.4125856259894765,1.4384610600561158,1.0145416789455375,1.9839653913470785,0.9649207646473509,5.075779070134333
attempt_02_cluster_seed_01,1,-1610.8923781030023,0.022200089717216542,0.5119462307679051,False,False,1.4181023242066328,1.4293394603754712,1.014292806197029,1.9149238222378018,0.9652024694257126,4.736598541589481
attempt_02_cluster_seed_01,2,-1610.8076339245995,0.10694426812005986,2.466193410193183,False,False,1.4171534011978117,1.4364715135843944,1.015018307495834,1.895724722787167,0.9645508231854066,4.022486647720061
attempt_02_cluster_seed_01,3,-1610.5733230687226,0.34125512399691615,7.869530109374703,False,False,1.420788494473451,1.4385898500913885,1.0097262078018572,2.02504547829454,0.9646519535809897,2.9944920018127723
attempt_02_cluster_seed_01,4,-1610.5905664064858,0.32401178623376836,7.471889294128115,False,False,1.428008206589165,1.435228309192131,1.016074281959543,1.8601895784669533,0.9657464047931337,2.887723737313445
attempt_02_cluster_seed_01,5,-1606.3457763423885,4.568801850331056,105.3590735981799,False,False,3.441264807927474,1.2708687078252063,2.41224952253457,0.9740833796462953,1.0561480290060532,2.297944816717865
attempt_02_cluster_seed_01,6,-1610.0174906869986,0.8970875057209469,20.68732933392859,False,False,3.2680473084922483,1.2612328717196208,2.4251262160493368,0.9661482340679508,2.7060282683926427,0.9602686101532667
attempt_02_cluster_seed_01,7,-1610.1797214492954,0.7348567434241886,16.946199080386418,False,False,3.2562801373509327,1.2649489338042081,2.485039031663632,0.9657751709626882,3.05122081923389,0.9601909032423993
attempt_02_cluster_seed_01,8,-1610.2608308954088,0.6537472973107015,15.075770818771332,False,False,3.419479275579915,1.2701614710956137,2.5475833439416093,0.9655367080830801,3.1644751980938834,0.9597422253177681
attempt_01_continuation,0,-1611.0043896418492,0.0,0.0,False,False,1.4024785840277647,1.4508091379918449,1.0094419987953405,3.354353015892964,0.9667623674727079,3.0089052079992835
attempt_01_continuation,1,-1610.9976102318294,0.006779410019817078,0.15633690902536942,False,False,1.4040360252058617,1.4516985405699925,1.0098624508550245,3.284765872687824,0.9684120670752671,2.8753868398575597
attempt_01_continuation,2,-1610.9145857675805,0.0898038742686822,2.0709265379478405,False,False,1.4101380242475032,1.4497374281996098,1.009151783493221,3.074310911361997,0.9689231044911866,2.5855776913077877
attempt_01_continuation,3,-1610.87007241044,0.13431723140934082,3.097428939391425,False,False,1.4454254532564326,1.423287202726742,1.0106111448184658,2.654513775692826,0.9738619347005361,1.8481917372543413
attempt_01_continuation,4,-1610.8337247475704,0.17066489427884335,3.935625957524802,False,False,1.4523029348438912,1.4193071034848395,1.0110807206587595,2.3308094750173916,0.9738218378624439,1.8456203284957087
attempt_01_continuation,5,-1608.6129212565234,2.3914683853258794,55.14857108522063,False,False,2.19034295954672,1.3237909321310102,1.2177667653162392,1.3355642103944765,1.1295337598477315,1.4367680978000616
attempt_01_continuation,6,-1610.2900345192782,0.714355122571078,16.473420472098045,False,False,2.9502539922611004,1.2707329122034334,1.891775511207185,0.9776398028235108,1.759366455361159,0.9808335165744645
attempt_01_continuation,7,-1610.3388697591174,0.6655198827318145,15.347253087964956,False,False,3.428664475548573,1.269888761391766,1.9544883166858138,0.9750469279600575,1.7968239387230531,0.9780470870926192
attempt_01_continuation,8,-1610.354104370623,0.6502852712262666,14.99593460066037,False,False,3.6774849796137734,1.2699966860324274,1.9158633459929877,0.9768074421737214,1.79668459854952,0.977938677057319
