evidence_kind,time_s,step,rate_control,instantaneous_selectivity_control,cumulative_product_control
software_fixture_not_chemical_prediction,0.0,alcohol_coordination,,,
software_fixture_not_chemical_prediction,0.0,alcohol_h_transfer,,,
software_fixture_not_chemical_prediction,0.0,aldehyde_release,,,
software_fixture_not_chemical_prediction,0.0,imine_coordination,,,
software_fixture_not_chemical_prediction,0.0,imine_hydrogenation,,,
software_fixture_not_chemical_prediction,0.0,product_release,,,
software_fixture_not_chemical_prediction,0.0,hemiaminal_addition,,,
software_fixture_not_chemical_prediction,0.0,direct_dehydration,,,
software_fixture_not_chemical_prediction,0.0,base_assisted_addition,,,
software_fixture_not_chemical_prediction,0.0,base_assisted_dehydration,,,
software_fixture_not_chemical_prediction,0.0,one_alcohol_shuttle,,,
software_fixture_not_chemical_prediction,0.0,two_alcohol_shuttle,,,
software_fixture_not_chemical_prediction,0.0,three_alcohol_shuttle,,,
software_fixture_not_chemical_prediction,0.0,hydrogenated_dimerization,,,
software_fixture_not_chemical_prediction,0.0,decarbonylation,,,
software_fixture_not_chemical_prediction,0.0,bound_alcohol_decarbonylation,,,
software_fixture_not_chemical_prediction,0.0,arm_cleavage,,,
software_fixture_not_chemical_prediction,0.0,bound_alcohol_arm_cleavage,,,
software_fixture_not_chemical_prediction,7.214428857715431,alcohol_coordination,-0.0006368260994936377,5.849210809715649e-08,0.00642673445658916
software_fixture_not_chemical_prediction,7.214428857715431,alcohol_h_transfer,-0.05970504788019269,5.63357170912937e-07,0.032408360494078
software_fixture_not_chemical_prediction,7.214428857715431,aldehyde_release,-0.003040434815874587,1.2366928614417766e-08,0.018029864702843273
software_fixture_not_chemical_prediction,7.214428857715431,imine_coordination,0.3823296368598194,-6.236699429118531e-08,0.4195809359509442
software_fixture_not_chemical_prediction,7.214428857715431,imine_hydrogenation,0.5286345646250465,-8.620459668318148e-08,0.5661577775523976
software_fixture_not_chemical_prediction,7.214428857715431,product_release,0.006482217735537489,-3.39989004310981e-09,0.03418155356200954
software_fixture_not_chemical_prediction,7.214428857715431,hemiaminal_addition,0.09786535681900069,2.3108641619695725e-07,0.23444227414262803
software_fixture_not_chemical_prediction,7.214428857715431,direct_dehydration,0.20732607502101985,8.954748706435645e-08,0.2659281326496898
software_fixture_not_chemical_prediction,7.214428857715431,base_assisted_addition,0.014679640449288055,3.466251803120601e-08,0.03516598231234522
software_fixture_not_chemical_prediction,7.214428857715431,base_assisted_dehydration,0.2591543068246916,1.1193292354105822e-07,0.3324061432486565
software_fixture_not_chemical_prediction,7.214428857715431,one_alcohol_shuttle,0.07774727813288249,3.358030763178643e-08,0.0997230497436337
software_fixture_not_chemical_prediction,7.214428857715431,two_alcohol_shuttle,0.010366303751050996,4.477374353217822e-09,0.013296406632484496
software_fixture_not_chemical_prediction,7.214428857715431,three_alcohol_shuttle,0.0005183151875525499,2.2386871761752303e-10,0.0006648203316242246
software_fixture_not_chemical_prediction,7.214428857715431,hydrogenated_dimerization,-0.700681839019859,9.478054052713958e-08,-0.5947872689581648
software_fixture_not_chemical_prediction,7.214428857715431,decarbonylation,-1.349578180224622e-06,-1.4156740394713474e-07,-1.315153338971346e-06
