evidence_kind,time_s,cat_M,cat_alcohol_M,cat_h2_aldehyde_M,cat_h2_M,cat_h2_imine_M,cat_product_M,dimer_M,cat_co_M,cat_degraded_M,alcohol_M,aldehyde_M,amine_M,hemiaminal_M,imine_M,product_M,water_M,benzene_M,free_base_M,fixture_TOF_s-1,active_metal_fraction,cleavage_fragment_formed_M
software_fixture_not_chemical_prediction,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,0.0
software_fixture_not_chemical_prediction,7.214428857715431,9.618754342275454e-06,5.7514833547236055e-05,1.1549421302363817e-05,0.001711264146949918,7.590411684301525e-05,1.409984325259244e-05,0.004059676514485656,3.294334511601227e-08,6.629114461749855e-07,0.9894542892749256,0.00041503180947588655,0.9899384182825958,0.003284971058181174,0.006130581364919053,0.0005560253342071999,0.006776610659221863,3.294334511601227e-08,0.0499993370885538,0.01127960718851906,0.18799511162374008,6.629114461749855e-07
software_fixture_not_chemical_prediction,14.428857715430862,7.532190659806599e-06,4.5179853346769036e-05,9.01383998694752e-06,0.0009544464625000535,5.889280634772057e-05,1.0953029169168915e-05,0.0044566196056317455,3.322488512941293e-08,7.093818409118235e-07,0.9887305693405115,0.00018820833567264,0.9889730045944018,0.00117105004290328,0.008508394070302499,0.0012777054568737381,0.009855945362693125,3.322488512941293e-08,0.04999929061815907,0.00876194213927972,0.10860181820104664,7.093818409118235e-07
software_fixture_not_chemical_prediction,21.64328657314629,6.091738277061563e-06,3.643997433358707e-05,7.250017927703794e-06,0.0007198016855019149,4.7868600336158975e-05,8.891107971932563e-06,0.004586438859690161,3.3339006230596594e-08,7.458172650845977e-07,0.9881623263898336,0.00011550425095084792,0.9883215539720509,0.0005784163802193825,0.009198725434705781,0.0018445445047143433,0.01110002964772821,3.3339006230596594e-08,0.049999254182734904,0.007112324553427894,0.08263431243483589,7.458172650845977e-07
software_fixture_not_chemical_prediction,28.857715430861724,5.294715045161711e-06,3.160056165734473e-05,6.278107406042953e-06,0.0006142903344637239,4.17747131462591e-05,7.751166170131546e-06,0.004646100344808491,3.340431730425558e-08,7.763081770463416e-07,0.9876845586096796,8.864290910747735e-05,0.9878111135921664,0.00038807906961873054,0.009429735641037194,0.002321545817859357,0.011800807338212942,3.340431730425558e-08,0.04999922369182292,0.0062003183399267445,0.0706989597888664,7.763081770463416e-07
software_fixture_not_chemical_prediction,36.07214428857716,4.848653046942638e-06,2.8891270326183305e-05,5.735124655030883e-06,0.0005595187304582195,3.835464064171843e-05,7.111694014956325e-06,0.0046773514662805426,3.3452014930947554e-08,8.035022809301477e-07,0.9872570058297017,7.702493203243269e-05,0.9873686906087289,0.00031637561020718196,0.009520787668764765,0.002748679777640674,0.012314933781062106,3.3452014930947554e-08,0.04999919649771904,0.005688688842236114,0.06444601131430511,8.035022809301477e-07
software_fixture_not_chemical_prediction,43.28657314629258,4.59322083685634e-06,2.7337528789659195e-05,5.424057436227857e-06,0.0005290646369177049,3.6388788639346046e-05,6.744298047836645e-06,0.0046947925734622245,3.3491949746160005e-08,8.288304581687505e-07,0.986857928771507,7.129974852744021e-05,0.9869620235982087,0.0002847195097089836,0.00956259703365599,0.0031475267717373905,0.012753256892080558,3.3491949746160005e-08,0.049999171169541806,0.0053947155739916906,0.0609552530667631,8.288304581687505e-07
software_fixture_not_chemical_prediction,50.501002004008015,4.4443932206042264e-06,2.6429153903503244e-05,5.242301099767763e-06,0.0005115062951576773,3.5237586435776365e-05,6.529244386554994e-06,0.004704862209373091,3.352798126133151e-08,8.5307906866751e-07,0.986475357916901,6.82278997825387e-05,0.9865752907996668,0.0002689369713903774,0.00958403231474969,0.0035299730833691268,0.013155772228941138,3.352798126133151e-08,0.04999914692093132,0.005222611079821963,0.05893889742038838,8.5307906866751e-07
software_fixture_not_chemical_prediction,57.71543086172345,4.356769352987076e-06,2.589090004206542e-05,5.134639307811437e-06,0.0005011762522239756,3.455468602725288e-05,6.4017326519003435e-06,0.004710787382773748,3.35618945657191e-08,8.766929519407266e-07,0.9861025104095902,6.650229987474334e-05,0.9862000718107081,0.00026047827885234174,0.00959573687714983,0.003902756614608781,0.013539449910437753,3.35618945657191e-08,0.04999912330704805,0.005120535950999741,0.057751497960599286,8.766929519407266e-07
software_fixture_not_chemical_prediction,64.92985971943888,4.304958898388337e-06,2.556903913248641e-05,5.070275417939285e-06,0.0004950276128478085,3.4146021068568597e-05,6.325472464735877e-06,0.004714311547944058,3.359461080164945e-08,8.999296711489793e-07,0.9857354540734544,6.551459743674375e-05,0.9858316415800511,0.00025580371096392416,0.009602298805724463,0.0042697844097252975,0.013912554708983059,3.359461080164945e-08,0.04999910007032885,0.00505945890946926,0.05704433798299271,8.999296711489793e-07
