name,n_solvent,temperature_K,delta_G_qRRHO_1M_kcal_mol,standard_state,status,interpretation
hemiaminal_tbuoh_1_seed_02,1,298.15,0.6582536018795508,all species 1 M; ALPB gsolv plus single 1 atm to 1 M correction,verified_cluster_and_reference_minima,sampled cluster association; not dehydration barrier or bulk speciation
hemiaminal_tbuoh_1_seed_02,1,360.0,2.943523115984135,all species 1 M; ALPB gsolv plus single 1 atm to 1 M correction,verified_cluster_and_reference_minima,sampled cluster association; not dehydration barrier or bulk speciation
hemiaminal_tbuoh_1_seed_02,1,370.0,3.3125965331637417,all species 1 M; ALPB gsolv plus single 1 atm to 1 M correction,verified_cluster_and_reference_minima,sampled cluster association; not dehydration barrier or bulk speciation
hemiaminal_tbuoh_1_seed_02,1,380.0,3.681537515612945,all species 1 M; ALPB gsolv plus single 1 atm to 1 M correction,verified_cluster_and_reference_minima,sampled cluster association; not dehydration barrier or bulk speciation
hemiaminal_tbuoh_1_seed_02,1,383.15,3.7977257127968187,all species 1 M; ALPB gsolv plus single 1 atm to 1 M correction,verified_cluster_and_reference_minima,sampled cluster association; not dehydration barrier or bulk speciation
hemiaminal_tbuoh_1_seed_02,1,390.0,4.050341262911388,all species 1 M; ALPB gsolv plus single 1 atm to 1 M correction,verified_cluster_and_reference_minima,sampled cluster association; not dehydration barrier or bulk speciation
hemiaminal_tbuoh_1_seed_02,1,400.0,4.41900354460995,all species 1 M; ALPB gsolv plus single 1 atm to 1 M correction,verified_cluster_and_reference_minima,sampled cluster association; not dehydration barrier or bulk speciation
hemiaminal_tbuoh_1_seed_02,1,410.0,4.787520639323702,all species 1 M; ALPB gsolv plus single 1 atm to 1 M correction,verified_cluster_and_reference_minima,sampled cluster association; not dehydration barrier or bulk speciation
hemiaminal_tbuoh_1_seed_02,1,420.0,5.15588928069883,all species 1 M; ALPB gsolv plus single 1 atm to 1 M correction,verified_cluster_and_reference_minima,sampled cluster association; not dehydration barrier or bulk speciation
hemiaminal_tbuoh_2_seed_01,2,298.15,3.586111557462573,all species 1 M; ALPB gsolv plus single 1 atm to 1 M correction,verified_cluster_and_reference_minima,sampled cluster association; not dehydration barrier or bulk speciation
hemiaminal_tbuoh_2_seed_01,2,360.0,8.415315485715837,all species 1 M; ALPB gsolv plus single 1 atm to 1 M correction,verified_cluster_and_reference_minima,sampled cluster association; not dehydration barrier or bulk speciation
hemiaminal_tbuoh_2_seed_01,2,370.0,9.195240311277303,all species 1 M; ALPB gsolv plus single 1 atm to 1 M correction,verified_cluster_and_reference_minima,sampled cluster association; not dehydration barrier or bulk speciation
hemiaminal_tbuoh_2_seed_01,2,380.0,9.974881894329883,all species 1 M; ALPB gsolv plus single 1 atm to 1 M correction,verified_cluster_and_reference_minima,sampled cluster association; not dehydration barrier or bulk speciation
hemiaminal_tbuoh_2_seed_01,2,383.15,10.220408480869082,all species 1 M; ALPB gsolv plus single 1 atm to 1 M correction,verified_cluster_and_reference_minima,sampled cluster association; not dehydration barrier or bulk speciation
hemiaminal_tbuoh_2_seed_01,2,390.0,10.7542289053672,all species 1 M; ALPB gsolv plus single 1 atm to 1 M correction,verified_cluster_and_reference_minima,sampled cluster association; not dehydration barrier or bulk speciation
hemiaminal_tbuoh_2_seed_01,2,400.0,11.533271367006819,all species 1 M; ALPB gsolv plus single 1 atm to 1 M correction,verified_cluster_and_reference_minima,sampled cluster association; not dehydration barrier or bulk speciation
hemiaminal_tbuoh_2_seed_01,2,410.0,12.312000513658859,all species 1 M; ALPB gsolv plus single 1 atm to 1 M correction,verified_cluster_and_reference_minima,sampled cluster association; not dehydration barrier or bulk speciation
hemiaminal_tbuoh_2_seed_01,2,420.0,13.090408666288567,all species 1 M; ALPB gsolv plus single 1 atm to 1 M correction,verified_cluster_and_reference_minima,sampled cluster association; not dehydration barrier or bulk speciation
hemiaminal_tbuoh_3_seed_00,3,298.15,4.105508586086216,all species 1 M; ALPB gsolv plus single 1 atm to 1 M correction,verified_cluster_and_reference_minima,sampled cluster association; not dehydration barrier or bulk speciation
